conta_codigo,conta_nome,fil,data,lot,documento,item,cpart,historico,debito,credito,saldo_atual
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000001,0002,01637,SAIDA DA CTE N. 87985-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,7585.96,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000002,0002,01637,SAIDA DA CTE N. 87986-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,582.15,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000003,0002,01637,SAIDA DA CTE N. 87987-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3260.34,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000004,0002,01637,SAIDA DA CTE N. 87988-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,642.83,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000005,0002,01637,SAIDA DA CTE N. 87989-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1160.82,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-01,CGS,0000000006,0002,01637,SAIDA DA CTE N. 87990-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3236.24,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000001,0002,00522,SAIDA DA CTE N. 29001-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,293.22,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000001,0004,00540,SAIDA DA NFP N. 9199-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,514.96,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000002,0002,00540,SAIDA DA CTE N. 28982-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,352.23,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000002,0004,00540,SAIDA DA NFP N. 9200-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,582.08,
